trait	Chr	start	end	e_chr	e_start	e_peak	e_end	logP	var_exp	eQTL_classification	e_length	ens_gene	ext_gene	biotype
B0047.2	II	2043089	2044087	II	675431	1677238	2699386	42.146782047796	0.562803714186493	Local eQTL	2023955	WBGene00015013	btb-3	pseudogenic_transcript
B0047.3.1	II	2044619	2045605	II	835851	1677238	2699386	13.5990353553018	0.205358747043705	Local eQTL	1863535	WBGene00015014	bath-24	mRNA
B0047.4.1	II	2046053	2046656	III	12374570	12810053	13772968	6.1960839988913	0.107956480747157	Distant eQTL	1398398	WBGene00015015	math-1	mRNA
B0047.5	II	2048061	2049175	II	732532	1739882	2701785	56.1127460477965	0.860614376403547	Local eQTL	1969253	WBGene00015016	bath-14	pseudogenic_transcript
B0198.1.1	X	12031592	12034037	X	10474409	11893642	12860970	12.3650959630279	0.267478268710512	Local eQTL	2386561	WBGene00006646	tsp-20	mRNA
B0205.11.2	I	10732541	10733685	V	13594389	14645553	15505538	6.46995339736268	0.119447826179189	Distant eQTL	1911149	WBGene00015025	mrpl-9	mRNA
B0205.13.1	I	10727755	10728808	I	11283443	12101627	13056388	6.7072055743939	0.127353543732135	Distant eQTL	1772945	WBGene00044644	B0205.13	mRNA
B0205.13.1	I	10727755	10728808	X	14086088	14375587	14675313	6.34266211580615	0.117008917614129	Distant eQTL	589225	WBGene00044644	B0205.13	mRNA
B0205.14.1	I	10726138	10727386	I	2393645	11928955	12981519	7.6515226149825	0.155403318729788	Distant eQTL	10587874	WBGene00044646	B0205.14	mRNA
B0205.14.1	I	10726138	10727386	IV	4620584	6611540	11298354	6.35965280316126	0.134240880221552	Distant eQTL	6677770	WBGene00044646	B0205.14	mRNA
B0205.14.1	I	10726138	10727386	V	13624982	14654518	15302894	6.18545632165672	0.116126595015006	Distant eQTL	1677912	WBGene00044646	B0205.14	mRNA
B0205.3.2	I	10730713	10732448	X	9017243	9678817	13230768	7.16627521472956	0.14043304358319	Distant eQTL	4213525	WBGene00004466	rpn-10	mRNA
B0205.8.1	I	10728895	10730233	III	5152584	5795006	7226494	8.01045490731644	0.173999034011516	Distant eQTL	2073910	WBGene00015022	B0205.8	mRNA
B0205.9.1	I	10720809	10723496	I	4326017	11312403	12807923	23.5095130583795	0.442820837126671	Local eQTL	8481906	WBGene00015023	B0205.9	mRNA
B0205.9.2	I	10720809	10723597	I	5536271	10398584	12563152	7.82146635907835	0.145023218456958	Local eQTL	7026881	WBGene00015023	B0205.9	mRNA
B0207.5b.1	I	5919055	5935391	V	13166974	14444778	15243889	6.99615453421388	0.130068918727042	Distant eQTL	2076915	WBGene00015028	B0207.5	mRNA
B0212.3.2	IV	3540136	3543603	IV	2288657	3554139	6235762	16.0730751856662	0.295817050633527	Local eQTL	3947105	WBGene00015037	B0212.3	mRNA
B0212.5.1	IV	3551090	3557431	V	13166974	14649731	16706815	7.22030936141461	0.134331704839252	Distant eQTL	3539841	WBGene00003889	osm-9	mRNA
B0213.15a.1	V	3968134	3970514	III	1460880	1863995	2295805	7.63282139404213	0.149522920044541	Distant eQTL	834925	WBGene00015044	cyp-34A9	mRNA
B0213.5.1	V	3981980	3982741	IV	15408559	16047511	16492186	6.30203683059987	0.153693608170143	Distant eQTL	1083627	WBGene00003768	nlp-30	mRNA
B0213.5.1	V	3981980	3982741	V	4963511	7317606	12023320	7.56918604184231	0.202724056642162	Distant eQTL	7059809	WBGene00003768	nlp-30	mRNA
B0222.3.2	V	9138946	9141399	V	17988482	19021483	20067849	6.89609725472562	0.14598719308714	Distant eQTL	2079367	WBGene00015055	pitr-3	mRNA
B0222.8.2	V	9159691	9165378	V	13166974	14649731	15294340	6.7519053367633	0.126937269602465	Distant eQTL	2127366	WBGene00000599	col-10	mRNA
B0238.13b	V	5243815	5248021	V	2089439	5276186	14006860	22.7523169580737	0.429083925182338	Local eQTL	11917421	WBGene00015077	B0238.13	pseudogenic_transcript
B0238.15.1	V	5240203	5240451	V	4148345	10412590	15236472	10.2117439401304	0.242918408489504	Distant eQTL	11088127	WBGene00044537	B0238.15	mRNA
B0238.15.1	V	5240203	5240451	X	3651726	5067480	7889015	9.12988813402493	0.225802987657462	Distant eQTL	4237289	WBGene00044537	B0238.15	mRNA
B0238.9.2	V	5275549	5278101	V	4151163	5426956	7748776	10.3693073592569	0.191544689649416	Local eQTL	3597613	WBGene00015073	B0238.9	mRNA
B0250.3	V	20468349	20469413	I	1139949	1689321	2723482	7.03602495989947	0.1955869381144	Distant eQTL	1583533	WBGene00007120	B0250.3	pseudogenic_transcript
B0250.3	V	20468349	20469413	II	7028	473231	5132790	10.2727004645475	0.194084947849464	Distant eQTL	5125762	WBGene00007120	B0250.3	pseudogenic_transcript
B0250.3	V	20468349	20469413	IV	14486159	15065063	15494411	7.07150861019742	0.176464097604071	Distant eQTL	1008252	WBGene00007120	B0250.3	pseudogenic_transcript
B0250.3	V	20468349	20469413	V	4436657	5295653	11630153	8.64348575138648	0.202545040401781	Distant eQTL	7193496	WBGene00007120	B0250.3	pseudogenic_transcript
B0250.3	V	20468349	20469413	V	18031303	20485920	20899078	22.2799072995485	0.489747115616818	Local eQTL	2867775	WBGene00007120	B0250.3	pseudogenic_transcript
B0250.4	V	20458654	20464486	V	19299140	20485920	20899078	19.5711234084827	0.304737416257066	Local eQTL	1599938	WBGene00007121	B0250.4	pseudogenic_transcript
B0252.3a.1	II	6902849	6907501	II	3058875	5944790	11129489	17.8553057844035	0.315084046010118	Local eQTL	8070614	WBGene00015088	B0252.3	mRNA
B0273.2.1	IV	5486685	5490322	II	12532227	12759806	13134456	6.78684042273951	0.125497486706794	Distant eQTL	602229	WBGene00004243	puf-7	mRNA
B0273.3.1	IV	5484041	5486258	I	6415	7565	1626141	12.9839862649422	0.309901441160424	Distant eQTL	1619726	WBGene00015098	snpc-3.1	mRNA
B0280.13.1	III	7128901	7132057	III	4892173	7145610	7642678	13.8290160002502	0.267183856155821	Local eQTL	2750505	WBGene00015107	viro-2	mRNA
B0280.13.2	III	7128895	7132057	III	3916188	7145610	8480988	27.1994883952719	0.443862262460375	Local eQTL	4564800	WBGene00015107	viro-2	mRNA
B0280.1a.1	III	7133766	7136463	III	6575282	7145610	7642678	7.99311784397622	0.21968902601763	Local eQTL	1067396	WBGene00015099	ggtb-1	mRNA
B0280.2.1	III	7124664	7128382	II	619231	946924	1412399	7.63936166105757	0.179532503837908	Distant eQTL	793168	WBGene00015100	B0280.2	mRNA
B0280.2.1	III	7124664	7128382	II	13156696	13519520	13911543	7.82612380554823	0.174237819007577	Distant eQTL	754847	WBGene00015100	B0280.2	mRNA
B0280.2.1	III	7124664	7128382	III	2196644	2608757	2866576	7.00978216537207	0.162772033862473	Distant eQTL	669932	WBGene00015100	B0280.2	mRNA
B0280.7.1	III	7110302	7111893	II	13012531	13176850	13441171	6.37204179821562	0.153869728431954	Distant eQTL	428640	WBGene00015103	B0280.7	mRNA
B0280.7.1	III	7110302	7111893	IV	3699373	4430374	6453908	7.09608226678201	0.165805801502229	Distant eQTL	2754535	WBGene00015103	B0280.7	mRNA
B0280.7.1	III	7110302	7111893	V	12270528	14447671	15309098	7.94648391191135	0.147358430894982	Distant eQTL	3038570	WBGene00015103	B0280.7	mRNA
B0280.8.1	III	7112296	7115438	III	4727895	6265508	7381419	8.25008525440256	0.269509155160116	Local eQTL	2653524	WBGene00003609	nhr-10	mRNA
B0285.6.1	III	4350102	4355972	III	3415250	4389765	6865201	6.51988389290029	0.27919295687442	Local eQTL	3449951	WBGene00007138	B0285.6	mRNA
B0285.7.1	III	4356594	4364979	V	2036618	3004240	4297629	6.25916337209129	0.227790717460117	Distant eQTL	2261011	WBGene00007139	mnp-1	mRNA
B0286.4c.2	II	4372741	4376464	II	2215266	3779761	11546677	26.4339222432017	0.47337697615508	Local eQTL	9331411	WBGene00003825	ntl-2	mRNA
B0294.3.1	X	1892187	1893272	III	624217	913808	1309813	6.26868894131168	0.0866716561194189	Distant eQTL	685596	WBGene00015118	B0294.3	mRNA
B0294.3.1	X	1892187	1893272	X	303285	1853538	2712875	10.2140409859984	0.188741132785064	Local eQTL	2409590	WBGene00015118	B0294.3	mRNA
B0303.11a.2	III	8703292	8710118	III	6766877	8778247	10635400	38.5101181222019	0.601168698757386	Local eQTL	3868523	WBGene00015131	B0303.11	mRNA
B0303.11b.1	III	8703300	8710114	III	6330936	8750423	11381896	25.1813295276418	0.662846487394568	Local eQTL	5050960	WBGene00015131	B0303.11	mRNA
B0303.3.1	III	8686327	8688475	III	5715413	8816076	10756158	20.6935007379204	0.477137931933262	Local eQTL	5040745	WBGene00015125	B0303.3	mRNA
B0303.7a.1	III	8693638	8699521	III	6970096	7951791	10068278	6.63268278147386	0.122558419178164	Local eQTL	3098182	WBGene00015128	B0303.7	mRNA
B0304.6.1	II	4534742	4537241	II	3779789	5795371	6623764	6.45182655980586	0.139397656237815	Distant eQTL	2843975	WBGene00005059	sra-33	mRNA
B0304.8.1	II	4524634	4527900	II	3969926	4525394	5362800	6.65593273158821	0.14527815677758	Local eQTL	1392874	WBGene00005061	sra-35	mRNA
B0331.1.1	V	9654755	9657975	II	3171147	3569186	3772455	6.79681819439332	0.149426093966002	Distant eQTL	601308	WBGene00007140	cyp-29A4	mRNA
B0331.1.1	V	9654755	9657975	IV	3432491	4665571	8354063	7.59120506414246	0.140708343602017	Distant eQTL	4921572	WBGene00007140	cyp-29A4	mRNA
B0334.10.1	II	11518484	11519571	II	8314780	11286461	12049740	10.6537727492971	0.252850791943411	Local eQTL	3734960	WBGene00007148	B0334.10	mRNA
B0334.11b.2	II	11493236	11495321	V	13166974	15138708	15696942	6.5252837964406	0.121061155360984	Distant eQTL	2529968	WBGene00003868	ooc-3	mRNA
B0334.9	II	11480432	11482385	X	303285	1543486	2491536	6.37298638960909	0.117590383970483	Distant eQTL	2188251	WBGene00007147	B0334.9	pseudogenic_transcript
B0336.1a.2	III	5722845	5727123	III	4546753	7305440	8705077	9.6830983313385	0.180035160322325	Distant eQTL	4158324	WBGene00006943	wrm-1	mRNA
B0336.1b.1	III	5723639	5726750	III	3437947	5660718	8474673	10.845093068288	0.199979020294684	Local eQTL	5036726	WBGene00006943	wrm-1	mRNA
B0336.4a.1	III	5698430	5702304	III	4628715	5660718	7816507	8.71695628819945	0.161632071819127	Local eQTL	3187792	WBGene00004348	rgs-5	mRNA
B0336.4a.2	III	5698436	5702313	III	4892173	5660718	6305760	7.19270754576028	0.133199072243354	Local eQTL	1413587	WBGene00004348	rgs-5	mRNA
B0336.9c.1	III	5702259	5705464	III	3437947	5660718	7829842	49.4783249002389	0.662199349569958	Local eQTL	4391895	WBGene00006359	swp-1	mRNA
B0336.9e.2	III	5702256	5705463	III	3437947	5660718	6359978	8.91225482445208	0.168208530822276	Local eQTL	2922031	WBGene00006359	swp-1	mRNA
B0344.1	X	1597051	1597835	I	9358654	12769876	14106800	9.83088793037211	0.181903323562231	Distant eQTL	4748146	WBGene00023226	B0344.1	pseudogenic_transcript
B0344.2.1	X	1576637	1591320	II	12384603	12759500	13125464	6.96975050322626	0.128974908319478	Distant eQTL	740861	WBGene00006955	wrt-9	mRNA
B0344.2.2	X	1576628	1591320	II	619231	946924	1412399	8.8857594400191	0.179561042879266	Distant eQTL	793168	WBGene00006955	wrt-9	mRNA
B0344.2.2	X	1576628	1591320	V	13598611	14649731	15294340	6.32254445832875	0.131339211723537	Distant eQTL	1695729	WBGene00006955	wrt-9	mRNA
B0348.2a.1	V	45310	46923	X	6895081	7665277	8223709	6.16395662247742	0.153351738708298	Distant eQTL	1328628	WBGene00015152	B0348.2	mRNA
B0348.4j.1	V	20819	43691	V	1191	1714	1598313	6.29491513518695	0.125344399127093	Local eQTL	1597122	WBGene00001177	egl-8	mRNA
B0348.4k.1	V	20824	43683	V	1191	1714	1598313	7.4715367737171	0.139089526480577	Local eQTL	1597122	WBGene00001177	egl-8	mRNA
B0348.5a.1	V	2851	6632	IV	3699373	4430374	6453908	6.71900239303827	0.149650647842485	Distant eQTL	2754535	WBGene00015153	B0348.5	mRNA
B0348.6c.1	V	6589	7828	III	2196644	2608757	2866576	6.34541841099002	0.120631508082962	Distant eQTL	669932	WBGene00002061	ife-3	mRNA
B0361.5a.2	III	7268410	7271149	III	2876164	3160500	3795935	6.28845076634454	0.115968718710765	Distant eQTL	919771	WBGene00015159	psd-1	mRNA
B0361.7.1	III	7283915	7285878	III	4466987	7110063	10592740	21.7505084213821	0.371974260153184	Local eQTL	6125753	WBGene00015161	pho-5	mRNA
B0361.7.2	III	7283916	7285886	III	7018353	7459140	8056285	6.22902063736436	0.115892993035854	Local eQTL	1037932	WBGene00015161	pho-5	mRNA
B0361.8.2	III	7287846	7290568	III	4457200	7110063	10321069	31.8296910833209	0.566277002460283	Local eQTL	5863869	WBGene00015162	algn-11	mRNA
B0365.5a.1	V	13133635	13134886	V	3787039	12967187	15285406	23.4554118306821	0.467144789883083	Local eQTL	11498367	WBGene00007152	clec-225	mRNA
B0365.6.1	V	13134903	13138101	V	7587293	12902310	14453766	7.39741813542454	0.137063202061418	Local eQTL	6866473	WBGene00007153	clec-41	mRNA
B0365.6.1	V	13134903	13138101	X	3651726	5067480	6456287	7.48035116866249	0.142947991457178	Distant eQTL	2804561	WBGene00007153	clec-41	mRNA
B0379.7.1	I	10072578	10074399	V	3635414	4415549	5065362	6.49934018973922	0.124944428737212	Distant eQTL	1429948	WBGene00007159	B0379.7	mRNA
B0391.10	V	15585067	15593185	X	303285	1926647	2827856	7.427555973596	0.337754952914282	Distant eQTL	2524571	WBGene00007165	B0391.10	pseudogenic_transcript
B0391.5.1	V	15605673	15610388	V	9553144	16068416	16722984	8.95298257608015	0.180875703919224	Local eQTL	7169840	WBGene00007162	fbxa-153	mRNA
B0391.8	V	15595055	15596466	III	10665451	11395781	12439859	8.20251768653365	0.205740292326915	Distant eQTL	1774408	WBGene00014643	B0391.8	pseudogenic_transcript
B0391.8	V	15595055	15596466	V	7605246	16236905	18031303	24.9768606091537	0.466675627084724	Local eQTL	10426057	WBGene00014643	B0391.8	pseudogenic_transcript
B0393.5.1	III	4765768	4776342	II	619231	946924	1412399	6.60612016774261	0.142380430951766	Distant eQTL	793168	WBGene00007170	B0393.5	mRNA
B0393.5.1	III	4765768	4776342	V	12293869	14649731	15294340	6.80336515210241	0.143886719196915	Distant eQTL	3000471	WBGene00007170	B0393.5	mRNA
B0393.8.1	III	4751878	4754057	III	3467419	5133787	5890213	6.84439070871184	0.208667924908929	Local eQTL	2422794	WBGene00007173	B0393.8	mRNA
B0399.1b.2	V	19565382	19606120	II	763243	1186497	1611691	6.65134943891447	0.124625543291589	Distant eQTL	848448	WBGene00007176	kcnl-1	mRNA
B0403.3.2	X	7061136	7063337	X	6154927	7061137	8522871	11.0480317314118	0.203552123468009	Local eQTL	2367944	WBGene00015167	B0403.3	mRNA
B0403.5.1	X	7057724	7061190	II	619231	946924	1412399	6.73736802112411	0.136674194310258	Distant eQTL	793168	WBGene00015169	B0403.5	mRNA
B0416.10.1	X	9273013	9274672	X	6145154	8927830	12373882	25.8409828673204	0.584924989717548	Local eQTL	6228728	WBGene00206482	B0416.10	mRNA
B0416.1a.1	X	9303724	9310442	X	9909295	10591139	12117803	6.20017299074493	0.117781986452305	Distant eQTL	2208508	WBGene00015177	tmc-2	mRNA
B0416.1b.1	X	9303722	9310438	X	4897074	9101672	13290955	10.0858433034452	0.186481544831275	Local eQTL	8393881	WBGene00015177	tmc-2	mRNA
B0416.4.1	X	9278953	9279947	X	5590940	7116370	13083108	8.11339288420443	0.172694908337826	Distant eQTL	7492168	WBGene00015180	B0416.4	mRNA
B0416.5.1	X	9268626	9270853	X	8626585	9583403	10349253	7.79924206775947	0.22383395772259	Local eQTL	1722668	WBGene00015181	B0416.5	mRNA
B0432.13.1	II	276426	282576	I	1011098	1557541	1953384	6.18079216690835	0.170891133196115	Distant eQTL	942286	WBGene00015194	trul-1	mRNA
B0432.13.1	II	276426	282576	V	18640496	20030979	20900332	6.27955780757317	0.184803386369918	Distant eQTL	2259836	WBGene00015194	trul-1	mRNA
B0462.1	V	18325035	18328791	V	6426148	18159340	20201477	30.9656951730333	0.574967482090231	Local eQTL	13775329	WBGene00007181	B0462.1	pseudogenic_transcript
B0462.3.1	V	18318595	18319744	II	4725042	5586326	6384630	6.28100928032709	0.183766543557176	Distant eQTL	1659588	WBGene00007182	fbxb-119	mRNA
B0462.3.1	V	18318595	18319744	V	18390395	20443591	20900332	15.1184603817684	0.307419726094754	Distant eQTL	2509937	WBGene00007182	fbxb-119	mRNA
B0462.5.1	V	18322215	18323331	V	16857177	18329989	20492224	25.656709760226	0.553926629676437	Local eQTL	3635047	WBGene00194695	B0462.5	mRNA
B0491.2.1	II	11336694	11337823	V	13598611	14649731	15294340	6.27868479723971	0.120610902691128	Distant eQTL	1695729	WBGene00005016	sqt-1	mRNA
B0491.3.2	II	11338450	11339607	II	10694017	11144362	11756053	6.41951332245993	0.13635654789417	Local eQTL	1062036	WBGene00007190	rmd-3	mRNA
B0491.8b.1	II	11358447	11369950	II	576668	946924	1426176	8.31562210914084	0.176477558414935	Distant eQTL	849508	WBGene00000529	clh-2	mRNA
B0495.9.2	II	7707582	7708713	II	4724274	6329923	7083618	6.60735293929659	0.122074779550464	Distant eQTL	2359344	WBGene00015208	B0495.9	mRNA
B0496.3a.1	IV	7424748	7444664	II	619231	946924	1412399	6.22201108969422	0.114692665158888	Distant eQTL	793168	WBGene00006814	unc-82	mRNA
B0507.1.1	V	8774323	8779314	IV	3686531	4430374	6481987	7.53875993581343	0.176954390821665	Distant eQTL	2795456	WBGene00015218	B0507.1	mRNA
B0507.3a.2	V	8768903	8770876	V	19043178	20093486	20900332	6.33015779074904	0.117851494402828	Distant eQTL	1857154	WBGene00015220	B0507.3	mRNA
B0507.8.1	V	8760622	8763194	III	925290	1438862	2154845	7.64906318856728	0.144100118630077	Distant eQTL	1229555	WBGene00015225	B0507.8	mRNA
B0511.10.1	I	10640465	10642281	II	13086270	13234805	13562872	6.17387599395078	0.11669071228336	Distant eQTL	476602	WBGene00001228	eif-3.E	mRNA
B0511.13b.2	I	10634569	10636039	I	5330184	9980205	11834253	8.04891364267105	0.168607906399741	Local eQTL	6504069	WBGene00015238	mppe-1	mRNA
B0511.2	I	10651540	10653347	I	4820355	10702236	13272845	30.0149997202916	0.555183943817435	Local eQTL	8452490	WBGene00015228	B0511.2	pseudogenic_transcript
B0511.5.1	I	10628631	10631674	IV	15445553	16027005	16490636	6.75208229335279	0.136400849005741	Distant eQTL	1045083	WBGene00015231	cutl-14	mRNA
B0511.9a.1	I	10639079	10640232	I	3416900	10222404	14103199	31.735169375208	0.497462466807195	Local eQTL	10686299	WBGene00015235	cdc-26	mRNA
B0511.9a.2	I	10639076	10640232	I	3416900	10222404	14015556	89.0260386658053	0.909563955131666	Local eQTL	10598656	WBGene00015235	cdc-26	mRNA
B0513.4a.1	IV	13880138	13881546	IV	12756392	13537231	14069958	7.71937398842764	0.143112307385591	Local eQTL	1313566	WBGene00007196	B0513.4	mRNA
B0523.3.2	III	8670544	8675055	III	3610456	4676714	5506164	6.30556466375049	0.102228425089097	Distant eQTL	1895708	WBGene00003993	pgl-2	mRNA
B0523.5.1	III	8675297	8683736	III	12491041	13265430	13772968	8.47994400689918	0.203034111091408	Distant eQTL	1281927	WBGene00001443	fli-1	mRNA
B0524.3.1	III	1887558	1889691	III	778358	1870450	2449975	9.11610157149865	0.168945714783479	Local eQTL	1671617	WBGene00015242	B0524.3	mRNA
B0524.4	III	1881156	1887304	III	778358	1870450	2452510	20.9288879161618	0.391465096688973	Local eQTL	1674152	WBGene00015243	B0524.4	pseudogenic_transcript
B0524.5.1	III	1891383	1893890	III	1108368	1895735	2543160	23.0329848590834	0.43738768169011	Local eQTL	1434792	WBGene00015244	B0524.5	mRNA
B0524.6.2	III	1900775	1905640	III	736428	1913338	2420543	13.8557928281887	0.251494712648368	Local eQTL	1684115	WBGene00015245	B0524.6	mRNA
B0546.4a.1	IV	3382949	3384147	V	19021483	20201477	20900332	10.0723293431598	0.187063075162725	Distant eQTL	1878849	WBGene00015251	B0546.4	mRNA
B0554.7a.1	V	437546	441023	V	655389	1077669	1701773	6.22496508316562	0.128979449618283	Local eQTL	1046384	WBGene00015260	B0554.7	mRNA
